survey_timestamp,participant_class,college ,department,Gender,race,computer_user_type,pc/laptop,purchase_year,screen_size,screen_size_other,warranty,webcam,computer_rating,computer_model,computer_ownership,os,os_version,processor,memory,harddisk,data_sizein_computer,data_backup,backup_method,external_backup_disk_brand,cloud_brand,backup_freq,automatic_backup,loss_of_data,have-secondary_computer,secondary_primary_sync,have_smartphone,smartphone_brand,smartphone_model,have_smartwatch,smartwatch_brand,smartwatch_model,confidence_level_on_sw_installation,internet_speed,internet_connection_reliability,Completion_status
6/22/2020 12:24,Sophomore,,Biology and Biochemistry,Male,White,Standard User [document writing/email/web],Laptop,2019,15'',,1 year,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,No,Yes,Yes,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 3,Very confident,> 500 Mbps,Excellent,Complete
6/22/2020 12:44,Masters Student (MS),,Computer Science,Female,International (visa holders),Power User [... plus programming/analytics],Laptop,2019,13'',,1 year,Built-in to my computer,Fair,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,1 TB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 11,Yes,Apple Watch,Apple Watch 3,Somewhat confident,300 - 500 Mbps,Good,Complete
6/22/2020 12:32,Sophomore,,Mathematics,Male,Asian American,Standard User [document writing/email/web],Laptop,2019,15'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,500 GB - 1 TB,No,,,,,,No,No,,Yes,iPhone,iPhone X Series,No,,,Not confident,100 - 300 Mbps,Average,Complete
[not completed],Freshman,,Biology and Biochemistry,Female,Multiracial,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:30,Junior,,Mathematics,Male,White,Power User [... plus programming/analytics],Laptop,2016,15'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Home,AMD Ryzen,16 GB,1 TB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Other,Yes,No,No,,Yes,iPhone,iPhone 6,No,,,Very confident,< 100 Mbps,Good,Complete
6/22/2020 12:27,Sophomore,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2013,13'',,No,Built-in to my computer,Fair,Apple Macbook Pro,Own,Mac OS,High Sierra,Intel Core i5,> 32 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 8,No,,,Not confident,100 - 300 Mbps,Poor,Complete
6/22/2020 12:30,Senior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2017,15'',,3 year,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Cloud,,Apple iCloud,Monthly,Yes,No,No,,Yes,iPhone,iPhone 11,No,,,Very confident,> 500 Mbps,Excellent,Complete
6/22/2020 12:28,Doctoral Student (PhD),,Earth and Atmospheric Sciences,Male,International (visa holders),Power User [... plus programming/analytics],Desktop,2014,17'',,No,No,Average,Other,University property,Windows OS,Windows 10 Home,Intel Core i5,16 GB,1 TB,500 GB - 1 TB,No,,,,,,No,No,,Yes,iPhone,iPhone 11,No,,,Neutral,< 100 Mbps,Fair,Complete
6/22/2020 12:31,Sophomore,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2016,13'',,No,Built-in to my computer,Average,Microsoft Surface,Other,Windows OS,Windows 10 Home,Intel Core i7,32 GB,128 GB,< 100 GB,No,,,,,,Yes,No,,Yes,Samsung,Samsung Galaxy,No,,,Not confident,< 100 Mbps,Fair,Complete
[not completed],Freshman,,Biology and Biochemistry,Female,African American,Standard User [document writing/email/web],Laptop,2020,13'',,No,Built-in to my computer,Good,Apple Macbook Air,Own,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Doctoral Student (PhD),,Biology and Biochemistry,Male,International (visa holders),Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:41,Freshman,,Computer Science,Male,International (visa holders),Power User [... plus programming/analytics],Laptop,2019,15'',,Other,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i7,16 GB,512 GB,< 100 GB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone X Series,No,,,Very confident,100 - 300 Mbps,Excellent,Complete
6/22/2020 12:30,Masters Student (MS),,Mathematics,Female,White,Standard User [document writing/email/web],Laptop,2014,13'',,No,Built-in to my computer,Good,Apple Macbook Air,Own,Mac OS,Catalina,Intel Core i5,4 GB,128 GB,< 100 GB,Yes,External backup disk,Seagate,,Monthly,No,No,No,,Yes,iPhone,iPhone 6,No,,,Neutral,< 100 Mbps,Good,Complete
6/22/2020 12:30,Post-Baccalaureate (second degree),,Computer Science,Male,White,Power User [... plus programming/analytics],Laptop,2013,13'',,No,Built-in to my computer,Fair,Apple Macbook Pro,Own,Mac OS,Mojave,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Apple iCloud,Monthly,Yes,No,No,,Yes,iPhone,iPhone 6s,No,,,Very confident,100 - 300 Mbps,Excellent,Complete
6/22/2020 12:32,Freshman,,Physics,Male,White,Standard User [document writing/email/web],Laptop,2020,15'',,No,Built-in to my computer,Excellent,Apple Macbook Air,Own,Mac OS,Catalina,Intel Core i5,8 GB,256 GB,< 100 GB,No,,,,,,No,Yes,Yes,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 5,Moderately confident,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:29,Senior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2017,14'',,1 year,Built-in to my computer,Excellent,Lenovo Yoga,Own,Windows OS,Windows 10 Pro,Intel Core i7,16 GB,256 GB,500 GB - 1 TB,No,,,,,,No,No,,Yes,iPhone,iPhone 8,No,,,Neutral,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:32,Freshman,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Fair,Dell Latitude 5000,Own,Windows OS,Windows 10 Home,Intel Core i9,4 GB,128 GB,< 100 GB,No,,,,,,No,No,,Yes,iPhone,iPhone X Series,No,,,Moderately confident,< 100 Mbps,Fair,Complete
6/22/2020 12:29,Junior,,Biology and Biochemistry,Female,International (visa holders),Standard User [document writing/email/web],Laptop,2016,14'',,No,Built-in to my computer,Fair,Apple Macbook Pro,Own,Mac OS,Mac OS,Intel Core i5,8 GB,128 GB,< 100 GB,No,,,,,,Yes,No,,Yes,iPhone,iPhone 8,No,,,Somewhat confident,< 100 Mbps,Good,Complete
[not completed],Junior,,Biology and Biochemistry,Female,International (visa holders),Standard User [document writing/email/web],Laptop,2018,Other,11,No,Built-in to my computer,Good,Apple Macbook Air,Own,Mac OS,High Sierra,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:30,Sophomore,,Biology and Biochemistry,Male,Asian American,Standard User [document writing/email/web],Desktop,2019,Other,"24""",No,No,Good,Other,Own,Windows OS,Windows 10 Pro,AMD Ryzen,16 GB,1 TB,500 GB - 1 TB,No,,,,,,No,Yes,No,Yes,Samsung,Samsung Galaxy,No,,,Moderately confident,100 - 300 Mbps,Average,Complete
[not completed],Freshman,,Biology and Biochemistry,Male,African American,Standard User [document writing/email/web],Laptop,2019,Other,12.3'',No,Built-in to my computer,Excellent,Other,Own,Chrome OS,Other,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Doctoral Student (PhD),,Earth and Atmospheric Sciences,Male,International (visa holders),Standard User [document writing/email/web],Laptop,2016,13'',,3 year,Built-in to my computer,Excellent,Apple Macbook Air,Own,Mac OS,High Sierra,Intel Core i5,8 GB,128 GB,< 100 GB,Yes,External backup disk,Seagate,,Other,No,No,Yes,No,Yes,iPhone,Other,No,,,,,,Incomplete
6/22/2020 12:36,Doctoral Student (PhD),,Chemistry,Male,International (visa holders),Standard User [document writing/email/web],Laptop,2018,13'',,1 year,Built-in to my computer,Average,Microsoft Surface,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,256 GB,< 100 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,No,Yes,Yes,Yes,iPhone,iPhone X Series,No,,,Very confident,100 - 300 Mbps,Good,Complete
6/22/2020 12:39,Sophomore,,Earth and Atmospheric Sciences,Female,Hispanic,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Good,Microsoft Surface,Own,Windows OS,Windows 10 Home,Intel Core i5,32 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Monthly,No,No,Yes,No,Yes,iPhone,iPhone 11,No,,,Neutral,300 - 500 Mbps,Good,Complete
6/22/2020 12:35,Freshman,,Biology and Biochemistry,Male,International (visa holders),Standard User [document writing/email/web],Laptop,2018,13'',,1 year,Built-in to my computer,Good,Apple Macbook Pro,Own,Mac OS,Mac OS,Intel Core i9,4 GB,128 GB,100 GB - 500 GB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone X Series,No,,,Neutral,< 100 Mbps,Fair,Complete
6/22/2020 12:31,Junior,,Computer Science,Female,Asian American,Power User [... plus programming/analytics],Laptop,2018,13'',,No,Built-in to my computer,Excellent,Other,Own,Windows OS,Windows 10 Pro,Intel Core i9,16 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Moderately confident,> 500 Mbps,Good,Complete
[not completed],Senior,,Biology and Biochemistry,Female,African American,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:36,Sophomore,,Mathematics,Male,Prefer Not to Say,Standard User [document writing/email/web],Laptop,2018,13'',,No,External,Good,Apple Macbook Pro,Own,Mac OS,Mac OS,AMD Ryzen,16 GB,128 GB,< 100 GB,No,,,,,,No,No,,Yes,Other,Other,No,,,Moderately confident,< 100 Mbps,Good,Complete
6/22/2020 12:33,Masters Student (MS),,Biology and Biochemistry,Female,White,Power User [... plus programming/analytics],Laptop,2017,15'',,No,Built-in to my computer,Average,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i7,4 GB,128 GB,100 GB - 500 GB,Yes,Cloud,,Google Drive,Weekly,Yes,No,Yes,No,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 1,Moderately confident,> 500 Mbps,Average,Complete
6/22/2020 12:43,Senior,,Computer Science,Female,Hispanic,Power User [... plus programming/analytics],Laptop,2019,15'',,1 year,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,8 GB,512 GB,< 100 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Moderately confident,100 - 300 Mbps,Excellent,Complete
6/22/2020 12:32,Senior,,Earth and Atmospheric Sciences,Male,White,Power User [... plus programming/analytics],Laptop,2018,15'',,1 year,Built-in to my computer,Good,Microsoft Surface,Own,Windows OS,Windows 10 Pro,Intel Core i7,16 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 4,Somewhat confident,100 - 300 Mbps,Average,Complete
6/22/2020 12:38,Junior,,Earth and Atmospheric Sciences,Male,White,Power User [... plus programming/analytics],Laptop,2017,13'',,No,Built-in to my computer,Poor,Other,Own,Linux,Other,Other,4 GB,128 GB,100 GB - 500 GB,Yes,External backup disk,Seagate,,Monthly,No,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Moderately confident,100 - 300 Mbps,Average,Complete
6/22/2020 12:37,Sophomore,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2019,13'',,1 year,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Safari,Intel Core i9,> 32 GB,128 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 8,Yes,Apple Watch,Apple Watch 4,Somewhat confident,100 - 300 Mbps,Fair,Complete
[not completed],Freshman,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:38,Doctoral Student (PhD),,Earth and Atmospheric Sciences,Male,White,Power User [... plus programming/analytics],Desktop,2012,Other,21,No,Built-in to my computer,Poor,Other,University property,Windows OS,Windows 10 Pro,Intel Core i5,16 GB,1 TB,100 GB - 500 GB,Yes,Cloud,,Google Drive,Daily,Yes,No,No,,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 5,Very confident,100 - 300 Mbps,Excellent,Complete
[not completed],Senior,,Earth and Atmospheric Sciences,Female,White,Standard User [document writing/email/web],Laptop,2015,15'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:46,Freshman,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],Laptop,2018,17'',,3 year,Built-in to my computer,Good,Lenovo Yoga,Own,Windows OS,Windows 10 Home,Intel Core i7,8 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 8,Yes,Fitbit,Fitbit Versa,Somewhat confident,> 500 Mbps,Excellent,Complete
6/22/2020 12:35,Freshman,,Biology and Biochemistry,Male,Asian American,Standard User [document writing/email/web],Laptop,2020,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,High Sierra,Intel Core i9,4 GB,128 GB,100 GB - 500 GB,Yes,Cloud,,Apple iCloud,Daily,Yes,No,Yes,No,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 3,Very confident,300 - 500 Mbps,Good,Complete
[not completed],Senior,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2019,13'',,No,Built-in to my computer,Fair,Other,Own,Chrome OS,Chrome os,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Junior,,Computer Science,Prefer Not to Say,Prefer Not to Say,Power User [... plus programming/analytics],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:40,Junior,,Mathematics,Male,White,Power User [... plus programming/analytics],Laptop,2018,14'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Pro,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Weekly,Yes,No,Yes,Yes,Yes,iPhone,iPhone 8,No,,,Moderately confident,300 - 500 Mbps,Excellent,Complete
[not completed],Freshman,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2017,14'',,No,Built-in to my computer,Excellent,Apple Macbook Air,Own,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:41,Doctoral Student (PhD),,Mathematics,Female,Other,Power User [... plus programming/analytics],Laptop,2012,13'',,No,Built-in to my computer,Average,Apple Macbook Pro,Own,Mac OS,Mojave,Intel Core i5,16 GB,1 TB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 8,No,,,Neutral,100 - 300 Mbps,Average,Complete
6/22/2020 12:46,Doctoral Student (PhD),,Physics,Female,International (visa holders),Power User [... plus programming/analytics],Laptop,2017,13'',,No,Built-in to my computer,Average,Apple Macbook Air,Own,Mac OS,Catalina,Intel Core i5,8 GB,128 GB,100 GB - 500 GB,Yes,Both,Seagate,Apple iCloud,Other,Yes,Yes,Yes,No,Yes,Other,Other,No,,,Moderately confident,100 - 300 Mbps,Good,Complete
[not completed],Junior,,Computer Science,Male,White,Standard User [document writing/email/web],Laptop,2019,15'',,1 year,Built-in to my computer,Average,Dell Inspiron 7000,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:43,Sophomore,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2017,13'',,No,Built-in to my computer,Fair,Lenovo Yoga,Own,Windows OS,Windows 10 Home,Intel Core i5,16 GB,128 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Monthly,Yes,No,No,,Yes,iPhone,iPhone 7,No,,,Moderately confident,300 - 500 Mbps,Good,Complete
6/22/2020 12:43,Doctoral Student (PhD),,Computer Science,Male,White,Power User [... plus programming/analytics],Desktop,2018,Other,"24"" x 2 (dual monitor)",No,External,Good,Other,Own,Windows OS,Windows 10 Pro,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,External backup disk,Other,,Weekly,No,No,Yes,No,Yes,iPhone,iPhone 8,No,,,Moderately confident,100 - 300 Mbps,Good,Complete
6/22/2020 12:53,Doctoral Student (PhD),,Earth and Atmospheric Sciences,Male,International (visa holders),Power User [... plus programming/analytics],Laptop,2015,17'',,No,Built-in to my computer,Poor,Other,Own,Windows OS,Windows 8,Intel Core i7,8 GB,1 TB,500 GB - 1 TB,No,,,,,,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Neutral,< 100 Mbps,Average,Complete
6/22/2020 12:44,Senior,,Chemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2016,15'',,1 year,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i7,16 GB,256 GB,100 GB - 500 GB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone 7 plus,No,,,Not confident,< 100 Mbps,Good,Complete
6/22/2020 12:51,Sophomore,,Mathematics,Male,Hispanic,Standard User [document writing/email/web],Laptop,2019,13'',,No,Built-in to my computer,Fair,Other,Own,Windows OS,Windows 10 Home,Other,4 GB,256 GB,100 GB - 500 GB,No,,,,,,Yes,Yes,No,Yes,Google,Google Pixel 4,No,,,Moderately confident,< 100 Mbps,Average,Complete
[not completed],Freshman,,Computer Science,Male,Hispanic,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:49,Sophomore,,Biology and Biochemistry,Male,Asian American,Standard User [document writing/email/web],Laptop,2015,13'',,1 year,Built-in to my computer,Average,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,128 GB,100 GB - 500 GB,No,,,,,,Yes,No,,Yes,iPhone,iPhone 7,No,,,Not confident,100 - 300 Mbps,Fair,Complete
[not completed],Junior,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Other,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:50,Junior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2016,14'',,No,Built-in to my computer,Poor,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,8 GB,128 GB,100 GB - 500 GB,No,,,,,,Yes,No,,Yes,iPhone,iPhone 6s ,No,,,Not confident,300 - 500 Mbps,Average,Complete
[not completed],Senior,,Mathematics,Male,Hispanic,Standard User [document writing/email/web],Tablet,2013,Other,7'',No,No,Poor,Other,Own,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:49,Freshman,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2020,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone 6s ,No,,,Moderately confident,100 - 300 Mbps,Good,Complete
[not completed],Sophomore,,Biology and Biochemistry,Female,African American,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:49,Junior,,Computer Science,Male,International (visa holders),Power User [... plus programming/analytics],Laptop,2018,13'',,No,Built-in to my computer,Fair,Dell Inspiron 7000,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,256 GB,< 100 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,No,Yes,Yes,Yes,iPhone,iPhone SE,No,,,Moderately confident,< 100 Mbps,Fair,Complete
6/22/2020 12:53,Doctoral Student (PhD),,Earth and Atmospheric Sciences,Female,Asian American,Power User [... plus programming/analytics],Laptop,2019,14'',,1 year,Built-in to my computer,Good,Dell Latitude 7000,Own,Windows OS,Windows 10 Pro,Intel Core i7,16 GB,256 GB,100 GB - 500 GB,Yes,External backup disk,Seagate,,Other,No,No,Yes,No,Yes,Google,Google Pixel 4,No,,,Very confident,100 - 300 Mbps,Excellent,Complete
6/22/2020 13:01,Post-Baccalaureate (non-degree option),,Mathematics,Female,Prefer Not to Say,Standard User [document writing/email/web],Laptop,2017,15'',,No,External,Average,Other,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,256 GB,< 100 GB,Yes,Cloud,,Google Drive,Other,No,No,No,,Yes,Google,Google Pixel 2,No,,,Not confident,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:50,Sophomore,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2018,13'',,Other,Built-in to my computer,Average,Other,Own,Windows OS,Windows 10 Home,Intel Core i5,4 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Google Drive,Other,No,No,No,,Yes,Google,Google Pixel 3a,No,,,Very confident,< 100 Mbps,Average,Complete
[not completed],Freshman,,Mathematics,Female,White,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:48,Senior,,Computer Science,Male,Hispanic,Power User [... plus programming/analytics],Desktop,2020,Other,"28""",No,External,Excellent,Other,Own,Windows OS,Windows 10 Home,AMD Ryzen,16 GB,1 TB,500 GB - 1 TB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 3,Very confident,100 - 300 Mbps,Good,Complete
6/22/2020 12:56,Senior,,Biology and Biochemistry,Female,Other,Standard User [document writing/email/web],Laptop,2017,13'',,No,Built-in to my computer,Good,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i7,8 GB,128 GB,< 100 GB,No,,,,,,Yes,No,,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 3,Not confident,< 100 Mbps,Poor,Complete
6/22/2020 12:50,Freshman,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Good,Apple Macbook Air,Own,Mac OS,Catalina,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Apple iCloud,Weekly,Yes,No,No,,Yes,iPhone,iPhone 8,Yes,Apple Watch,Apple Watch 3,Not confident,> 500 Mbps,Good,Complete
[not completed],Senior,,Earth and Atmospheric Sciences,Female,African American,Standard User [document writing/email/web],Laptop,2016,14'',,No,Built-in to my computer,Fair,Other,Own,Windows OS,Other,Other,4 GB,128 GB,< 100 GB,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Junior,,Mathematics,Female,Hispanic,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:54,Doctoral Student (PhD),,Earth and Atmospheric Sciences,Female,International (visa holders),Power User [... plus programming/analytics],Laptop,2016,15'',,No,Built-in to my computer,Fair,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,1 TB,500 GB - 1 TB,No,,,,,,No,Yes,No,Yes,Google,Google Pixel 3a,Yes,Other,Other,Very confident,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:56,Freshman,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],Laptop,2019,14'',,No,Built-in to my computer,Average,Other,Own,Chrome OS,Windows 10 Home,Intel Core i9,16 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,Other,Other,Yes,Fitbit,Fitbit Versa,Somewhat confident,300 - 500 Mbps,Average,Complete
6/22/2020 13:01,Post-Baccalaureate (second degree),,Computer Science,Male,White,Power User [... plus programming/analytics],Desktop,2016,Other,"24""",No,No,Excellent,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,1 TB,100 GB - 500 GB,Yes,Cloud,,Dropbox,Daily,Yes,No,Yes,Yes,Yes,Samsung,Samsung Galaxy,No,,,Very confident,> 500 Mbps,Excellent,Complete
[not completed],Sophomore,,Computer Science,Female,Asian American,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:58,Freshman,,Computer Science,Male,Hispanic,Standard User [document writing/email/web],Tablet,2018,13'',,1 year,Built-in to my computer,Good,Other,Own,Other,Other,Other,> 32 GB,256 GB,< 100 GB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone 6s,No,,,Moderately confident,< 100 Mbps,Good,Complete
6/22/2020 12:59,Freshman,,Biology and Biochemistry,Male,Hispanic,Standard User [document writing/email/web],Desktop,2016,Other,"27""",3 year,No,Excellent,Other,Own,Windows OS,Windows 10 Pro,Intel Core i9,16 GB,1 TB,500 GB - 1 TB,Yes,Cloud,,Microsoft OneDrive,Other,No,No,Yes,No,Yes,Samsung,Samsung Galaxy,No,,,Very confident,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:59,Senior,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2017,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i5,8 GB,128 GB,< 100 GB,Yes,External backup disk,Other,,Daily,Yes,No,Yes,Yes,Yes,iPhone,iPhone 11,Yes,Apple Watch,Apple Watch 3,Neutral,100 - 300 Mbps,Excellent,Complete
[not completed],Freshman,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2019,13'',,No,Built-in to my computer,Average,Other,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 13:00,Doctoral Student (PhD),,Physics,Male,White,Power User [... plus programming/analytics],Desktop,2016,17'',,No,No,Good,Other,University property,Linux,Other,AMD Ryzen,32 GB,> 1 TB,> 1 TB,Yes,Both,Seagate,Apple iCloud,Daily,Yes,No,Yes,No,Yes,iPhone,iPhone SE,No,,,Very confident,> 500 Mbps,Excellent,Complete
[not completed],,,,,,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 13:00,Freshman,,Other,Female,Asian American,Standard User [document writing/email/web],Laptop,2019,13'',,1 year,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Apple iCloud,Other,No,No,No,,Yes,iPhone,iPhone 11,Yes,Apple Watch,Apple Watch 3,Somewhat confident,100 - 300 Mbps,Average,Complete
[not completed],Sophomore,,Earth and Atmospheric Sciences,Male,Hispanic,Standard User [document writing/email/web],Laptop,2017,14'',,No,Built-in to my computer,Fair,Other,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 13:01,Doctoral Student (PhD),,Chemistry,Male,White,Power User [... plus programming/analytics],Laptop,2020,13'',,No,Built-in to my computer,Excellent,Other,Own,Windows OS,Windows 10 Home,AMD Ryzen,8 GB,512 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,Yes,Yes,Yes,Yes,Samsung,Samsung Galaxy S8,No,,,Very confident,100 - 300 Mbps,Average,Complete
